TamanhoConjunto,TamanhoTabela,TipoHash,TempoInsercaoMs,NumeroColisoes,TempoBuscaMs,CodigoBusca,ResultadoBusca
10000,1000,1,7,9000,0,714467277,Não encontrado
10000,1000,1,7,9000,0,228440134,Não encontrado
10000,1000,1,7,9000,0,013006775,Não encontrado
10000,1000,1,7,9000,0,393012078,Não encontrado
10000,1000,1,7,9000,0,919460774,Não encontrado
10000,1000,2,5,9000,0,618879799,Não encontrado
10000,1000,2,5,9000,0,837335854,Não encontrado
10000,1000,2,5,9000,0,300371047,Não encontrado
10000,1000,2,5,9000,0,712868734,Não encontrado
10000,1000,2,5,9000,0,501727143,Não encontrado
10000,1000,3,3,9000,0,478804043,Não encontrado
10000,1000,3,3,9000,0,022588300,Não encontrado
10000,1000,3,3,9000,0,917977603,Não encontrado
10000,1000,3,3,9000,0,377505517,Não encontrado
10000,1000,3,3,9000,0,500922496,Não encontrado
10000,10000,1,2,3720,0,064497321,Não encontrado
10000,10000,1,2,3720,0,118650012,Não encontrado
10000,10000,1,2,3720,0,535667528,Não encontrado
10000,10000,1,2,3720,0,725418198,Não encontrado
10000,10000,1,2,3720,0,954035125,Não encontrado
10000,10000,2,3,3698,0,463189060,Não encontrado
10000,10000,2,3,3698,0,494594822,Não encontrado
10000,10000,2,3,3698,0,995386979,Não encontrado
10000,10000,2,3,3698,0,232987447,Não encontrado
10000,10000,2,3,3698,0,124780221,Não encontrado
10000,10000,3,2,3705,0,906664637,Não encontrado
10000,10000,3,2,3705,0,695192915,Não encontrado
10000,10000,3,2,3705,0,365667639,Não encontrado
10000,10000,3,2,3705,0,436347191,Não encontrado
10000,10000,3,2,3705,0,863369810,Não encontrado
10000,100000,1,3,463,0,466844894,Não encontrado
10000,100000,1,3,463,0,281874421,Não encontrado
10000,100000,1,3,463,0,560115915,Não encontrado
10000,100000,1,3,463,0,706307289,Não encontrado
10000,100000,1,3,463,0,592063985,Não encontrado
10000,100000,2,4,507,0,469230875,Não encontrado
10000,100000,2,4,507,0,197662425,Não encontrado
10000,100000,2,4,507,0,664944794,Não encontrado
10000,100000,2,4,507,0,631605970,Não encontrado
10000,100000,2,4,507,0,896776320,Não encontrado
10000,100000,3,2,486,0,485362739,Não encontrado
10000,100000,3,2,486,0,286043781,Não encontrado
10000,100000,3,2,486,0,893054542,Não encontrado
10000,100000,3,2,486,0,404837891,Não encontrado
10000,100000,3,2,486,0,294236209,Não encontrado
100000,1000,1,20,99000,0,128804099,Não encontrado
100000,1000,1,20,99000,0,533429428,Não encontrado
100000,1000,1,20,99000,0,853325716,Não encontrado
100000,1000,1,20,99000,0,294439777,Não encontrado
100000,1000,1,20,99000,0,399669632,Não encontrado
100000,1000,2,27,99000,0,452747121,Não encontrado
100000,1000,2,27,99000,0,770890935,Não encontrado
100000,1000,2,27,99000,0,264018345,Não encontrado
100000,1000,2,27,99000,0,481495467,Não encontrado
100000,1000,2,27,99000,0,113782289,Não encontrado
100000,1000,3,18,99000,0,590182863,Não encontrado
100000,1000,3,18,99000,0,538943910,Não encontrado
100000,1000,3,18,99000,0,061590533,Não encontrado
100000,1000,3,18,99000,0,824782744,Não encontrado
100000,1000,3,18,99000,0,943999031,Não encontrado
100000,10000,1,11,90001,0,521136186,Não encontrado
100000,10000,1,11,90001,0,246069810,Não encontrado
100000,10000,1,11,90001,0,780474430,Não encontrado
100000,10000,1,11,90001,0,334296060,Não encontrado
100000,10000,1,11,90001,0,956853816,Não encontrado
100000,10000,2,30,90000,0,316033842,Não encontrado
100000,10000,2,30,90000,0,378378429,Não encontrado
100000,10000,2,30,90000,0,180825077,Não encontrado
100000,10000,2,30,90000,0,624126581,Não encontrado
100000,10000,2,30,90000,0,557330300,Não encontrado
100000,10000,3,16,90001,0,430356304,Não encontrado
100000,10000,3,16,90001,0,348880313,Não encontrado
100000,10000,3,16,90001,0,943172287,Não encontrado
100000,10000,3,16,90001,0,169288242,Não encontrado
100000,10000,3,16,90001,0,399533508,Não encontrado
100000,100000,1,18,36734,0,641490833,Não encontrado
100000,100000,1,18,36734,0,768315619,Não encontrado
100000,100000,1,18,36734,0,191142947,Não encontrado
100000,100000,1,18,36734,0,562829545,Não encontrado
100000,100000,1,18,36734,0,703799570,Não encontrado
100000,100000,2,29,36881,0,558128193,Não encontrado
100000,100000,2,29,36881,0,364234273,Não encontrado
100000,100000,2,29,36881,0,660008750,Não encontrado
100000,100000,2,29,36881,0,263349941,Não encontrado
100000,100000,2,29,36881,0,375760709,Não encontrado
100000,100000,3,16,36628,0,865787064,Não encontrado
100000,100000,3,16,36628,0,784376121,Não encontrado
100000,100000,3,16,36628,0,237119515,Não encontrado
100000,100000,3,16,36628,0,855858649,Não encontrado
100000,100000,3,16,36628,0,070053054,Não encontrado
100000,1000,1,14,99000,0,460791954,Não encontrado
100000,1000,1,14,99000,0,164871325,Não encontrado
100000,1000,1,14,99000,0,814788797,Não encontrado
100000,1000,1,14,99000,0,196052908,Não encontrado
100000,1000,1,14,99000,0,843774668,Não encontrado
100000,1000,2,30,99000,0,232507712,Não encontrado
100000,1000,2,30,99000,0,398720379,Não encontrado
100000,1000,2,30,99000,0,352875974,Não encontrado
100000,1000,2,30,99000,0,250361578,Não encontrado
100000,1000,2,30,99000,0,944895675,Não encontrado
100000,1000,3,18,99000,0,761889851,Não encontrado
100000,1000,3,18,99000,0,991420718,Não encontrado
100000,1000,3,18,99000,0,096539849,Não encontrado
100000,1000,3,18,99000,0,194744241,Não encontrado
100000,1000,3,18,99000,0,506894687,Não encontrado
100000,10000,1,17,90000,0,611667587,Não encontrado
100000,10000,1,17,90000,0,158100243,Não encontrado
100000,10000,1,17,90000,0,244610594,Não encontrado
100000,10000,1,17,90000,0,576836624,Não encontrado
100000,10000,1,17,90000,0,455007536,Não encontrado
100000,10000,2,31,90001,0,344732645,Não encontrado
100000,10000,2,31,90001,0,367766253,Não encontrado
100000,10000,2,31,90001,0,690719466,Não encontrado
100000,10000,2,31,90001,0,795806419,Não encontrado
100000,10000,2,31,90001,0,731945737,Não encontrado
100000,10000,3,19,90001,0,504975376,Não encontrado
100000,10000,3,19,90001,0,781150568,Não encontrado
100000,10000,3,19,90001,0,387936745,Não encontrado
100000,10000,3,19,90001,0,943697965,Não encontrado
100000,10000,3,19,90001,0,794519762,Não encontrado
100000,100000,1,18,36839,0,780438211,Não encontrado
100000,100000,1,18,36839,0,981791779,Não encontrado
100000,100000,1,18,36839,0,397909020,Não encontrado
100000,100000,1,18,36839,0,313960085,Não encontrado
100000,100000,1,18,36839,0,238416512,Não encontrado
100000,100000,2,34,36682,0,403678868,Não encontrado
100000,100000,2,34,36682,0,331917369,Não encontrado
100000,100000,2,34,36682,0,407823218,Não encontrado
100000,100000,2,34,36682,0,758757340,Não encontrado
100000,100000,2,34,36682,0,066256047,Não encontrado
100000,100000,3,19,36757,0,683949052,Não encontrado
100000,100000,3,19,36757,0,452795993,Não encontrado
100000,100000,3,19,36757,0,986065922,Não encontrado
100000,100000,3,19,36757,0,237390890,Não encontrado
100000,100000,3,19,36757,0,191295850,Não encontrado
